<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170302,000000,3125.0000000,3130.5000000,3080.5000000,3086.0000000,553046
20170303,000000,3086.5000000,3090.0000000,3033.0000000,3085.0000000,654643
20170306,000000,3076.0000000,3108.5000000,3055.0000000,3078.5000000,375872
20170307,000000,3079.0000000,3099.0000000,3045.0000000,3070.0000000,678312
20170309,000000,3025.5000000,3049.0000000,2937.0000000,2970.0000000,1221062
20170310,000000,2971.0000000,3054.0000000,2955.0000000,3028.0000000,616671
20170313,000000,3020.0000000,3085.0000000,3014.5000000,3051.0000000,409234
20170314,000000,3062.5000000,3118.0000000,3043.0000000,3080.0000000,697431
20170315,000000,3093.0000000,3122.0000000,3067.5000000,3088.0000000,758720
20170316,000000,3124.0000000,3147.5000000,3075.5000000,3095.0000000,1011598
20170317,000000,3095.0000000,3158.5000000,3082.0000000,3130.0000000,1105806
20170320,000000,3132.5000000,3145.0000000,3056.0000000,3092.5000000,638201
20170321,000000,3092.5000000,3120.0000000,3080.0000000,3101.0000000,552978
20170322,000000,3089.5000000,3120.5000000,3069.0000000,3120.5000000,781885
20170323,000000,3122.0000000,3139.0000000,3052.0000000,3066.0000000,749647
20170324,000000,3067.5000000,3082.0000000,3014.0000000,3017.5000000,517874
20170327,000000,3000.0000000,3017.0000000,2954.5000000,3003.0000000,426734
20170328,000000,3008.5000000,3055.0000000,2985.5000000,3055.0000000,518563
20170329,000000,3054.0000000,3066.0000000,3022.5000000,3061.0000000,468789
20170330,000000,3063.0000000,3064.5000000,2977.0000000,2982.0000000,779984
20170331,000000,2983.5000000,3003.5000000,2969.0000000,2981.0000000,531916
20170403,000000,2990.0000000,3027.0000000,2979.5000000,3026.5000000,356139
20170404,000000,3014.0000000,3063.0000000,3014.0000000,3050.0000000,455530
20170405,000000,3058.5000000,3063.5000000,3030.0000000,3057.0000000,537883
20170406,000000,3045.5000000,3065.0000000,3026.0000000,3057.5000000,471437
20170407,000000,3040.0000000,3057.5000000,2955.0000000,2991.0000000,799624
20170410,000000,2981.0000000,2989.0000000,2923.5000000,2956.0000000,694749
20170411,000000,2954.5000000,2996.5000000,2941.0000000,2968.0000000,493814
20170412,000000,2980.0000000,2985.0000000,2908.0000000,2949.5000000,570745
20170413,000000,2952.0000000,2958.0000000,2866.0000000,2910.0000000,689620
20170414,000000,2910.0000000,2910.0000000,2856.0000000,2864.5000000,136788
20170417,000000,2849.5000000,2890.0000000,2835.0000000,2880.0000000,261410
20170418,000000,2880.0000000,2893.5000000,2816.5000000,2828.5000000,477839
20170419,000000,2831.0000000,2892.0000000,2822.5000000,2859.0000000,802979
20170420,000000,2845.5000000,2871.5000000,2805.0000000,2858.0000000,699369
