<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160306,000000,9.3248000,9.3310000,9.3230000,9.3270000,18
20160307,000000,9.3273000,9.3438000,9.3160000,9.3364900,405717
20160308,000000,9.3356100,9.3780000,9.3201000,9.3493100,418060
20160309,000000,9.3479500,9.3529300,9.2700000,9.2873300,369776
20160310,000000,9.2865700,9.3865900,9.2265000,9.3644200,469186
20160311,000000,9.3658000,9.3750000,9.2938000,9.2979100,423121
20160312,000000,9.2974400,9.3019000,9.2775000,9.2775000,3178
20160313,000000,9.3122000,9.3122000,9.2935000,9.2938000,54
20160314,000000,9.2976000,9.3114000,9.2476000,9.2610600,350135
20160315,000000,9.2604000,9.2867000,9.2229500,9.2347000,397491
20160316,000000,9.2353000,9.2580300,9.2010000,9.2103900,377998
20160317,000000,9.2137800,9.3065200,9.1978000,9.2529300,475688
20160318,000000,9.2510800,9.2895600,9.2488000,9.2802000,323253
20160319,000000,9.2747000,9.2870000,9.2747000,9.2787000,64
20160320,000000,9.2747000,9.2792000,9.2655000,9.2783000,94
20160321,000000,9.2676000,9.2893700,9.2453000,9.2519500,357192
20160322,000000,9.2545000,9.2757700,9.2168000,9.2282000,421288
20160323,000000,9.2266000,9.2514100,9.2175000,9.2370000,326764
20160324,000000,9.2361000,9.2789700,9.2318000,9.2604000,248157
20160325,000000,9.2570000,9.2790000,9.2549000,9.2709000,85599
20160326,000000,9.2708000,9.2708000,9.2689000,9.2708000,63
20160327,000000,9.2637000,9.2697000,9.2553000,9.2697000,96
20160328,000000,9.2701000,9.2931100,9.2463000,9.2751600,203374
20160329,000000,9.2747000,9.2855700,9.2428000,9.2513000,357567
20160330,000000,9.2513600,9.2663100,9.2113000,9.2147000,304330
20160331,000000,9.2136000,9.2482300,9.2100000,9.2342000,325409
20160401,000000,9.2410000,9.2747000,9.2290000,9.2637000,229119
20160402,000000,9.2664000,9.2726000,9.2610000,9.2726000,6
20160403,000000,9.2447000,9.2726000,9.2380000,9.2526000,25
20160404,000000,9.2655000,9.2660100,9.2370000,9.2544600,256828
20160405,000000,9.2521000,9.2716100,9.2434000,9.2545000,228439
20160406,000000,9.2526600,9.3085300,9.2345000,9.2763500,212378
20160407,000000,9.2768500,9.3015400,9.2385000,9.2914000,222623
20160408,000000,9.2912000,9.2989400,9.2650000,9.2930000,202505
20160409,000000,9.2902000,9.2977000,9.2810000,9.2810000,6
20160410,000000,9.2897000,9.2908000,9.2825000,9.2851000,61
20160411,000000,9.2882000,9.2992600,9.2456000,9.2542600,200441
20160412,000000,9.2525000,9.2632100,9.1780000,9.1948600,243468
20160413,000000,9.1988000,9.2076300,9.1597000,9.1743500,221663
20160414,000000,9.1730000,9.2071000,9.1460000,9.1588000,252335
20160415,000000,9.1546000,9.1993500,9.1501200,9.1734000,274443
20160416,000000,9.1734000,9.1752000,9.1687000,9.1734000,91
20160417,000000,9.1750000,9.2052000,9.1693000,9.1897000,111
20160418,000000,9.1897000,9.2079900,9.1660000,9.1725600,263349
20160419,000000,9.1675700,9.2014900,9.1673000,9.1784700,525279
20160420,000000,9.1792000,9.1935100,9.1419000,9.1744900,553738
20160421,000000,9.1798000,9.1945300,9.1060000,9.1867200,612236
20160422,000000,9.1879700,9.1962000,9.1159000,9.1690000,546086
20160423,000000,9.1560000,9.1689000,9.1445000,9.1445000,4
20160424,000000,9.1583000,9.1689000,9.1375000,9.1525500,80
20160425,000000,9.1426000,9.1763700,9.1388000,9.1630000,548400
20160426,000000,9.1582000,9.1776400,9.1474000,9.1704700,605406
