<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190211,000000,7212.0600000,7240.8800000,7169.6600000,7180.3200000,8945610343
20190212,000000,7192.2800000,7250.8800000,7166.9300000,7236.1800000,8706251565
20190213,000000,7241.4900000,7241.4900000,7074.5100000,7074.5100000,14224777752
20190214,000000,7011.3800000,7075.8700000,6994.8000000,7034.0300000,18157115016
20190215,000000,7069.8700000,7142.4700000,7052.1500000,7142.4700000,11116691875
20190218,000000,7148.7700000,7161.7300000,7042.9300000,7100.2000000,9203945937
20190219,000000,7106.8700000,7127.6800000,7053.9200000,7084.2300000,9313815611
20190220,000000,7107.7600000,7154.8600000,7097.6200000,7147.7200000,10901592893
20190221,000000,7151.5200000,7173.3600000,7105.6100000,7120.3900000,9526415098
20190222,000000,7128.3400000,7181.9200000,7114.7900000,7175.1500000,8363697490
20190225,000000,7167.7300000,7194.1600000,7108.1100000,7134.2200000,9062577376
20190226,000000,7101.3500000,7137.7200000,7070.5500000,7137.7200000,9682193834
20190227,000000,7155.4400000,7175.5700000,7104.2500000,7142.8500000,10072086330
20190228,000000,7140.5300000,7140.5300000,7064.8100000,7085.5000000,14454899758
20190301,000000,7100.4600000,7122.7800000,7050.1500000,7053.5200000,9231350057
20190304,000000,7068.2600000,7074.1000000,7042.9200000,7055.6000000,7083414732
20190305,000000,7038.2800000,7059.9100000,7015.4900000,7022.5300000,9462025474
20190306,000000,7044.5200000,7092.5700000,7036.8300000,7089.1900000,10012335449
20190307,000000,7079.2400000,7079.2400000,7019.7000000,7030.1700000,9436512957
20190311,000000,7027.1400000,7027.1400000,6963.7900000,6974.9100000,10323575897
20190312,000000,6988.0800000,6997.0100000,6930.1800000,6951.7900000,9475024623
20190313,000000,6950.0100000,6958.2200000,6894.0100000,6958.2200000,9810596936
20190314,000000,6964.6400000,6986.3400000,6926.8400000,6932.0200000,11206912425
20190315,000000,6942.0100000,7000.0700000,6927.1300000,7000.0700000,18278631431
20190318,000000,6986.0200000,7033.4100000,6956.5100000,7013.0500000,10327124961
20190319,000000,7030.3100000,7059.6600000,7018.4600000,7059.1400000,10329131736
20190320,000000,7065.9500000,7124.8400000,7037.9900000,7120.2500000,11803295383
20190321,000000,7134.9100000,7144.1100000,7090.6000000,7144.1100000,18683410544
20190322,000000,7146.3900000,7150.9700000,7090.7600000,7111.2300000,12478260971
20190325,000000,7064.1500000,7095.4600000,7055.6600000,7083.2000000,11420744118
20190326,000000,7076.4400000,7135.2400000,7061.1600000,7092.6000000,9608289846
20190327,000000,7097.9300000,7123.7100000,7043.5700000,7046.5200000,9977790091
20190328,000000,7051.0200000,7091.7400000,7035.6800000,7075.3100000,8888756461
20190329,000000,7087.8800000,7131.6800000,7071.0700000,7125.9800000,15000482736
20190401,000000,7139.9000000,7204.3600000,7125.1100000,7185.9500000,13227438029
20190402,000000,7197.1200000,7216.5600000,7141.1500000,7176.9000000,12064349633
20190403,000000,7203.8800000,7230.1000000,7181.2500000,7181.2500000,12305876323
20190404,000000,7188.2100000,7189.1900000,7151.2200000,7171.7000000,10528217173
20190405,000000,7174.7100000,7187.1100000,7150.0200000,7150.0200000,9365753218
20190408,000000,7163.6300000,7204.6000000,7163.6300000,7204.0100000,11647897630
20190409,000000,7209.3400000,7221.2900000,7173.1100000,7209.7100000,17014152633
