<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160211,000000,89.0660000,91.4980000,87.0889000,90.6520000,440085
20160212,000000,90.6510000,90.6880000,87.6660000,88.1690000,431273
20160213,000000,88.2580000,88.7500000,88.1340000,88.3920000,20
20160214,000000,88.5410000,88.5410000,88.0380000,88.0380000,2
20160215,000000,88.0630000,89.1030000,85.6950000,85.7418000,232409
20160216,000000,85.8470000,87.8190000,84.6680000,87.6268000,591387
20160217,000000,87.0110000,87.3950000,83.0062000,83.7720000,331129
20160218,000000,83.7500000,84.9870000,83.0670000,84.7310000,545561
20160219,000000,84.7900000,86.5850000,84.3880000,85.6940000,306658
20160220,000000,85.6840000,86.1760000,85.5370000,86.1760000,20
20160221,000000,86.3120000,86.4840000,86.3120000,86.3960000,177
20160222,000000,86.3950000,87.3250000,82.4570000,82.9250000,245488
20160223,000000,82.9250000,85.7260000,81.3911000,85.5880000,4627
20160224,000000,84.0470000,85.6620000,83.2196000,83.4200000,544146
20160225,000000,83.9410000,84.5520000,82.7750000,82.8700000,278200
20160226,000000,82.8700000,84.0030000,81.5700000,83.3730000,586563
20160227,000000,83.3730000,83.8151000,82.9140000,82.9140000,1864
20160228,000000,83.4599000,83.7262000,82.2526000,83.4014000,146
20160229,000000,83.4520000,83.4520000,80.6964000,81.8903000,654773
20160301,000000,81.9240000,82.3580000,79.2210000,79.4983000,279917
20160302,000000,79.4950000,80.6050000,78.4930000,79.6591000,218680
20160303,000000,79.6440000,80.7990000,79.1970000,79.9670000,200850
20160304,000000,79.9670000,80.4800000,78.9100000,79.1180000,250174
20160305,000000,79.1660000,79.7080000,79.0320000,79.6590000,684
20160306,000000,79.5480000,79.5480000,79.2790000,79.2790000,23
20160307,000000,79.3540000,79.3540000,78.2920000,78.6260000,290328
20160308,000000,78.6260000,80.6301000,78.5461000,80.2130000,167299
20160309,000000,80.2480000,80.6708000,77.6140000,78.1020000,216501
20160310,000000,78.1020000,80.4840000,75.8220000,79.8420000,276972
20160311,000000,79.8420000,80.0896000,77.0510000,77.9840000,238862
20160312,000000,77.9840000,78.0420000,76.6200000,77.8830000,81
20160313,000000,76.6403000,78.8186000,76.5932000,78.7529000,176
20160314,000000,78.7507000,80.1040000,76.8571000,77.6370000,208205
20160315,000000,77.6720000,79.2720000,77.4680000,78.5561000,232821
20160316,000000,78.7300000,79.1180000,77.4120000,77.5128000,559752
20160317,000000,77.5108000,78.2050000,76.7610000,77.1576000,302950
20160318,000000,77.1720000,77.4890000,75.8640000,76.4092000,500597
20160319,000000,76.9260000,77.0830000,76.8645000,77.0290000,13
20160320,000000,76.8687000,77.6288000,76.7280000,77.2191000,222
20160321,000000,77.0320000,78.0150000,75.9350000,76.5403000,150021
20160322,000000,76.5840000,76.7980000,74.5576000,75.4247000,168209
20160323,000000,75.4610000,76.8430000,75.4030000,76.7286000,160027
20160324,000000,76.8550000,77.8520000,76.2830000,77.0054000,164496
20160325,000000,77.0290000,77.3670000,75.1397000,76.6853000,46121
20160326,000000,76.7440000,76.7440000,76.4615000,76.4615000,10
20160327,000000,76.1630000,76.4642000,76.1630000,76.4341000,66
20160328,000000,76.4471000,76.9500000,75.4620000,76.9196000,108292
20160329,000000,76.9710000,77.4720000,76.3956000,77.1141000,169533
20160330,000000,77.1490000,77.4720000,76.1360000,77.3520000,167573
20160331,000000,76.6910000,78.3136000,75.9590000,76.1825000,163106
20160401,000000,76.2320000,79.1180000,75.8570000,77.2015000,186416
20160402,000000,77.3580000,77.3693000,76.5986000,76.6880000,11
20160403,000000,77.3310000,77.3870000,76.5757000,76.6759000,109
20160404,000000,76.8100000,78.5340000,76.5923000,78.0659000,174789
20160405,000000,78.1090000,79.1750000,77.9000000,78.5980000,177803
20160406,000000,78.8680000,79.1180000,76.9050000,77.0836000,157218
20160407,000000,77.1210000,77.9360000,76.8480000,77.4728000,179606
20160408,000000,77.4990000,78.1260000,75.8329000,75.8329000,135871
20160409,000000,76.4630000,76.8130000,76.2542000,76.8130000,10
20160410,000000,76.2716000,76.8660000,74.1367000,76.8377000,154
20160411,000000,76.8720000,76.9140000,75.6993000,75.8946000,143186
20160412,000000,76.0230000,76.9090000,74.1680000,74.4078000,171863
20160413,000000,74.4540000,75.0640000,73.7130000,74.5020000,171119
20160414,000000,74.6550000,74.9490000,74.0680000,74.3967000,191424
20160415,000000,74.3160000,75.3280000,74.0920000,74.2708000,165832
20160416,000000,74.0870000,74.9459000,74.0870000,74.9300000,13
20160417,000000,74.9326000,77.6670000,74.9180000,75.8580000,200
20160418,000000,75.9110000,77.8204000,74.7271000,74.9612000,13113
20160419,000000,74.9890000,76.2500000,74.0650000,74.7960000,431812
20160420,000000,74.8550000,76.1910000,73.4489000,73.6410000,412367
20160421,000000,73.6150000,75.5510000,73.0020000,75.3619000,385265
20160422,000000,75.4040000,75.4970000,73.6890000,73.8843000,398910
20160423,000000,74.7660000,74.7660000,73.6485000,74.3326000,14
20160424,000000,74.2764000,74.9920000,74.1706000,74.9456000,161
20160425,000000,74.9870000,75.3618000,73.7340000,74.9618000,447719
20160426,000000,74.9980000,75.4915000,73.5906000,73.7861000,377489
20160427,000000,73.8240000,74.7190000,73.4317000,73.6838000,430458
20160428,000000,73.7960000,74.2090000,72.7090000,73.4900000,361697
20160429,000000,73.6220000,74.6225000,72.8720000,74.6225000,370136
20160430,000000,74.6600000,75.2340000,74.6600000,75.1552000,10
20160501,000000,74.0380000,74.2860000,74.0110000,74.2020000,163
20160502,000000,74.1980000,75.2370000,73.8260000,75.1120000,104136
20160503,000000,75.4180000,77.1770000,74.4780000,76.3790000,152911
20160504,000000,76.2610000,77.7640000,74.3290000,76.3809000,427072
20160505,000000,76.5250000,76.7140000,74.4830000,74.7046000,459282
20160506,000000,74.7460000,76.7512000,74.4011000,74.5105000,429591
20160507,000000,74.5470000,75.4470000,73.8548000,74.4815000,20
20160508,000000,74.9980000,76.0420000,73.6744000,75.0410000,233
20160509,000000,75.0290000,76.0210000,74.0799000,75.6683000,121728
20160510,000000,75.8740000,76.3590000,74.8810000,75.1090000,393463
20160511,000000,75.1940000,75.6010000,74.0250000,74.0778000,382191
20160512,000000,74.2130000,74.5780000,72.9555000,72.9555000,405465
20160513,000000,73.0770000,74.9800000,72.9470000,74.0053000,415491
20160514,000000,74.0410000,74.0500000,73.2617000,73.8850000,15
20160515,000000,75.8040000,75.9740000,73.8460000,73.8790000,22
20160516,000000,75.3370000,75.3470000,73.1600000,73.4643000,341951
20160517,000000,73.4440000,73.5930000,72.4246000,73.2425000,402165
20160518,000000,73.1590000,74.1985000,72.8250000,74.1941000,451621
20160519,000000,74.2870000,75.4910000,73.9710000,74.7240000,434450
20160520,000000,74.6410000,75.8569000,73.3183000,74.8820000,393477
20160521,000000,75.8110000,75.8110000,74.8770000,74.8770000,9
20160522,000000,74.8770000,74.9930000,74.0700000,74.9190000,158
20160523,000000,74.1470000,76.1510000,74.0210000,75.3663000,304306
20160524,000000,75.4320000,75.4610000,73.6080000,73.8970000,355297
20160525,000000,73.7740000,74.3510000,72.6870000,72.8020000,359727
20160526,000000,72.7680000,73.7730000,72.4080000,73.6190000,363302
20160527,000000,73.6880000,73.9680000,73.1065000,73.1065000,89016
20160528,000000,73.1340000,73.3910000,73.0694000,73.3910000,14
20160530,000000,73.3484000,73.7090000,72.9070000,73.4090000,236437
20160531,000000,73.3820000,74.5580000,73.0200000,74.1890000,315401
20160601,000000,74.0660000,75.1640000,73.4350000,74.9090000,401753
20160602,000000,75.0550000,75.7320000,74.5050000,74.5879000,393312
20160603,000000,74.7000000,75.1640000,73.2958000,74.7520000,368968
20160604,000000,73.5360000,74.2230000,73.5360000,74.2110000,8
20160605,000000,74.5270000,75.4410000,74.4650000,75.4250000,18
20160606,000000,75.4150000,76.5190000,73.8820000,74.0663000,325151
20160607,000000,74.1590000,74.6110000,73.1217000,73.3702000,392395
20160608,000000,73.3320000,73.6940000,72.3360000,72.4420000,153951
20160609,000000,72.4710000,73.1420000,72.1907000,72.6410000,415640
20160610,000000,72.7690000,73.6752000,71.3590000,73.6621000,439607
20160611,000000,73.7480000,73.7480000,73.3920000,73.3920000,15
20160612,000000,73.4070000,73.5360000,72.2910000,72.3210000,24
20160613,000000,72.3240000,74.4680000,71.6710000,74.0229000,205077
20160614,000000,74.1730000,74.4950000,73.6427000,73.9143000,395180
20160615,000000,74.0800000,74.1820000,73.3030000,73.5860000,384155
20160616,000000,73.6384000,74.4290000,73.1255000,73.6820000,425135
20160617,000000,73.0810000,74.0080000,72.8360000,73.0660000,323873
20160618,000000,73.0050000,73.4570000,73.0050000,73.0440000,13
20160619,000000,73.0820000,74.5880000,73.0820000,74.1880000,18
20160620,000000,74.1340000,74.3100000,72.2570000,72.6299000,328251
20160621,000000,72.6940000,74.0556000,71.5990000,71.7759000,321572
20160622,000000,71.6670000,73.5780000,70.3650000,73.1260000,329741
20160623,000000,73.2240000,74.7450000,72.3585000,72.3585000,335308
20160624,000000,72.4760000,74.6210000,71.0760000,72.4230000,370820
20160625,000000,72.2730000,72.5320000,72.2730000,72.5320000,7
20160626,000000,72.4730000,72.4730000,71.7890000,71.7960000,19
20160627,000000,72.8860000,74.0780000,71.4370000,72.2294000,361948
20160628,000000,72.4230000,73.0110000,70.7746000,70.8670000,376993
20160629,000000,71.0680000,71.4390000,70.5050000,70.7380000,397005
20160630,000000,70.8370000,73.4790000,70.3590000,70.8040000,389131
20160701,000000,70.8090000,71.5080000,69.3180000,70.5909000,80704
20160702,000000,70.6080000,71.0540000,70.6080000,71.0540000,9
20160703,000000,71.0070000,71.0480000,70.9910000,71.0480000,7
20160704,000000,71.0090000,72.8870000,70.6820000,71.2190000,236626
20160705,000000,71.2660000,72.3420000,70.5900000,71.2290000,343022
20160706,000000,71.1460000,71.7300000,71.0150000,71.3070000,357326
20160707,000000,71.4560000,71.6860000,70.5130000,71.3600000,322162
20160708,000000,71.3670000,72.3541000,70.0234000,70.4550000,278599
20160709,000000,70.3570000,70.5580000,70.0170000,70.5430000,18
20160710,000000,70.5510000,70.6110000,70.5510000,70.6080000,11
20160711,000000,70.6080000,71.2830000,70.5370000,70.9930000,330241
20160712,000000,71.0060000,71.1880000,70.3170000,70.4409000,340749
20160713,000000,70.7720000,71.1710000,70.0770000,70.7371000,351697
20160714,000000,70.7960000,71.1110000,69.5520000,69.8190000,338329
20160715,000000,70.1840000,70.6970000,69.6690000,70.2530000,342235
20160716,000000,70.4620000,70.7350000,70.2170000,70.6933000,22
20160717,000000,69.9500000,71.0043000,69.0544000,70.0110000,298
20160718,000000,70.1910000,70.5400000,69.3900000,69.5420000,290646
20160719,000000,69.5860000,70.1830000,69.3580000,69.9030000,285362
20160720,000000,69.9780000,70.3330000,69.4480000,70.2150000,328469
20160721,000000,70.2390000,71.0200000,69.9660000,70.8890000,306806
20160722,000000,70.7190000,71.4670000,70.6930000,71.0770000,297150
20160723,000000,71.2050000,71.2050000,71.0060000,71.1230000,17
20160724,000000,71.0320000,71.2180000,71.0320000,71.1650000,24
20160725,000000,71.1630000,71.9900000,70.7410000,71.9080000,298106
20160726,000000,71.9040000,73.1200000,71.6550000,72.2970000,399952
20160727,000000,72.4910000,73.0230000,72.2060000,72.8310000,408582
20160728,000000,72.6990000,74.0840000,72.5950000,73.9282000,384345
20160729,000000,74.1340000,74.7160000,73.4870000,73.6657000,425850
20160730,000000,73.6400000,73.7900000,73.2939000,73.2941000,19
20160731,000000,73.2908000,73.7870000,73.2236000,73.2925000,35
20160801,000000,73.7640000,75.3760000,73.2810000,74.7180000,389373
20160802,000000,75.3260000,75.3260000,73.9410000,74.8960000,406072
20160803,000000,75.1250000,75.1250000,73.6520000,73.8698000,396434
20160804,000000,73.8240000,74.7271000,72.9250000,73.1011000,347170
20160805,000000,73.4790000,73.4830000,71.9650000,72.4940000,374003
20160806,000000,72.5503000,72.7880000,72.1499000,72.5690000,20
20160807,000000,72.1756000,73.7610000,72.1205000,73.6907000,93
20160808,000000,73.7380000,74.0760000,71.3150000,71.5220000,346282
20160809,000000,71.7170000,72.3820000,71.3910000,71.9230000,339197
20160810,000000,72.0660000,72.5520000,71.5270000,72.4480000,376543
20160811,000000,72.6640000,72.7180000,71.2480000,71.5708000,383248
20160812,000000,71.6890000,72.5900000,71.3590000,72.2086000,262534
20160813,000000,72.2930000,72.6765000,72.1610000,72.6764000,16
20160814,000000,72.6803000,72.6894000,71.7861000,71.8035000,38
20160815,000000,71.7125000,72.4320000,70.9128000,71.5717000,350059
20160816,000000,71.6130000,72.3010000,71.4110000,71.8630000,390963
20160817,000000,72.0460000,72.4710000,71.7990000,72.0070000,415375
20160818,000000,72.1920000,72.6300000,71.7310000,72.1010000,421755
20160819,000000,72.3080000,72.6000000,71.9370000,72.2490000,411717
20160820,000000,72.2950000,72.3710000,72.2192000,72.2600000,10
20160821,000000,72.3220000,72.3220000,72.0918000,72.0995000,79
20160822,000000,72.1058000,73.3720000,72.0520000,73.3190000,375712
20160823,000000,73.3172000,73.6200000,72.6930000,72.9730000,397506
20160824,000000,73.0320000,73.4920000,72.5840000,73.3500000,403967
20160825,000000,73.3500000,73.5680000,72.8270000,73.3957000,353324
20160826,000000,73.4250000,73.4960000,72.2530000,72.3430000,387851
20160827,000000,72.4770000,72.7002000,72.2440000,72.7002000,22
20160828,000000,72.3670000,72.3670000,71.8330000,71.8330000,12
20160829,000000,72.5930000,72.8700000,71.4430000,71.4985000,320114
20160830,000000,71.5220000,72.8300000,71.4440000,72.7814000,377447
20160831,000000,72.8280000,72.9660000,72.3890000,72.9130000,403765
20160901,000000,72.9700000,73.9040000,72.5490000,73.7330000,408738
20160902,000000,73.8400000,73.9020000,72.4350000,72.5600000,204479
20160903,000000,72.7640000,72.7640000,72.5380000,72.6710000,12
20160904,000000,72.5730000,72.6840000,72.5430000,72.6840000,56
20160905,000000,72.6840000,73.0860000,71.9930000,72.3703000,264578
20160906,000000,72.2120000,72.6900000,71.9370000,72.6442000,388500
20160907,000000,72.7980000,72.7980000,72.0210000,72.1005000,423706
20160908,000000,72.1530000,72.4460000,71.5760000,72.0580000,448817
20160909,000000,72.0140000,72.8040000,70.8880000,72.5965000,451925
20160910,000000,72.7760000,72.7930000,72.5820000,72.7800000,17
20160911,000000,72.6080000,72.6450000,72.0860000,72.6450000,21
20160912,000000,72.6430000,73.3070000,71.9460000,72.6400000,437107
20160913,000000,72.6080000,73.5580000,72.3540000,73.2647000,428463
20160914,000000,73.5590000,73.5850000,72.0040000,73.2280000,461426
20160915,000000,73.3190000,74.0330000,72.2980000,72.6260000,446272
20160916,000000,72.7910000,73.2454000,72.2419000,73.2454000,422559
20160917,000000,73.3500000,73.3500000,72.4650000,73.1243000,14
20160918,000000,72.4480000,73.6540000,72.4250000,72.4320000,19
20160919,000000,72.4320000,72.8040000,71.8210000,72.1280000,421332
20160920,000000,72.2940000,72.6840000,71.9440000,72.1110000,425285
20160921,000000,72.1730000,72.5390000,71.2280000,71.4624000,467149
20160922,000000,71.6250000,71.8940000,71.1300000,71.1683000,422558
20160923,000000,71.2540000,72.0320000,71.0230000,71.8055000,447172
20160924,000000,71.8300000,72.4910000,71.1955000,71.1955000,16
20160925,000000,71.6340000,71.9440000,71.6340000,71.9310000,13
20160926,000000,71.8227000,72.5450000,71.4980000,71.7825000,435529
20160927,000000,72.2160000,72.5440000,71.0810000,71.3892000,448665
20160928,000000,71.4350000,73.0380000,70.5760000,70.5900000,493862
20160929,000000,70.7710000,71.0900000,70.3270000,70.5783000,469238
20160930,000000,70.6340000,71.7077000,70.2780000,70.5890000,435537
20161001,000000,70.6650000,70.6750000,70.2261000,70.6634000,14
20161002,000000,70.6650000,70.7218000,70.5810000,70.6391000,250
20161003,000000,70.6660000,70.9480000,69.6790000,69.7697000,390123
20161004,000000,69.8990000,70.4170000,69.5260000,70.2070000,458711
20161005,000000,70.3600000,70.3610000,69.6440000,69.7330000,388306
20161006,000000,69.8880000,69.9270000,69.0050000,69.1560000,361811
20161007,000000,69.2480000,69.7080000,68.9560000,69.6070000,336409
20161008,000000,69.7250000,69.8000000,69.5910000,69.6990000,15
20161009,000000,69.5080000,69.6650000,69.2785000,69.4377000,210
20161010,000000,69.5380000,69.8130000,68.8380000,69.0290000,305469
20161011,000000,68.9340000,69.5470000,68.8440000,69.1780000,447430
20161012,000000,69.3530000,69.5170000,68.8290000,69.3360000,426584
20161013,000000,69.5010000,70.0920000,69.2568000,69.6140000,443353
20161014,000000,69.6590000,69.7480000,68.5960000,68.9920000,427671
20161015,000000,69.0090000,69.0630000,68.6230000,69.0320000,27
20161016,000000,69.1140000,69.1140000,68.9663000,68.9769000,175
20161017,000000,69.0310000,69.4630000,68.7840000,69.3960000,383620
20161018,000000,69.5190000,69.5400000,68.5600000,68.6250000,353718
20161019,000000,68.6540000,69.1350000,68.0870000,68.2480000,380146
20161020,000000,68.3580000,68.8190000,68.0200000,68.1290000,359517
20161021,000000,68.0530000,68.2810000,67.5390000,67.7915000,391697
20161022,000000,67.9420000,67.9420000,67.6989000,67.7130000,12
20161023,000000,67.8250000,67.9900000,67.6446000,67.7916000,228
20161024,000000,67.8670000,68.1290000,67.5180000,67.6340000,368155
20161025,000000,67.6310000,67.9575000,67.3110000,67.6260000,416358
20161026,000000,67.7029000,68.9110000,66.9393000,68.0970000,403256
20161027,000000,68.5150000,68.9660000,68.0540000,68.2790000,405655
20161028,000000,68.3860000,69.3410000,67.9330000,69.0613000,423856
20161029,000000,69.0800000,69.3706000,68.6897000,68.7835000,18
20161030,000000,69.1420000,69.2250000,68.9880000,69.1370000,317
20161031,000000,69.2190000,69.6220000,68.6150000,69.4666000,305073
20161101,000000,69.5310000,70.1230000,68.7720000,69.8830000,346170
20161102,000000,70.0070000,70.9630000,69.8510000,70.4300000,443923
20161103,000000,70.5280000,70.8560000,70.2279000,70.5130000,419375
20161104,000000,70.6150000,71.8220000,70.4210000,71.6550000,332929
20161105,000000,71.4080000,71.8330000,71.3379000,71.8300000,49
20161106,000000,71.6710000,71.6940000,70.7370000,70.9516000,201
20161107,000000,71.0610000,71.7840000,70.0730000,70.3570000,396716
20161108,000000,70.3870000,70.5690000,70.0080000,70.2220000,362238
20161109,000000,70.2220000,72.9880000,69.2760000,69.6140000,558053
20161110,000000,69.6140000,71.5090000,68.8831000,71.0150000,354622
20161111,000000,71.1180000,73.2108000,70.0608000,71.1820000,440110
20161112,000000,71.1820000,71.7040000,71.1480000,71.7040000,1297
20161113,000000,71.3751000,71.5620000,71.1830000,71.2688000,277
20161114,000000,71.3620000,71.6320000,69.4520000,70.8290000,495654
20161115,000000,70.8240000,71.3470000,68.6350000,68.8310000,485838
20161116,000000,68.8310000,70.2750000,68.4450000,69.0890000,489503
20161117,000000,69.0890000,69.6490000,68.4960000,68.8860000,474075
20161118,000000,68.8860000,69.1760000,68.3420000,68.5410000,501752
20161119,000000,68.4790000,68.9520000,68.2238000,68.4560000,3672
20161120,000000,68.4730000,68.9312000,68.4110000,68.8338000,371
20161121,000000,68.5210000,68.8403000,67.6690000,67.8940000,438037
20161122,000000,67.9550000,68.2190000,67.3500000,67.6570000,392895
20161123,000000,67.6940000,68.5320000,67.3308000,67.9610000,250395
20161124,000000,67.9690000,68.2640000,67.5710000,68.0130000,382529
20161125,000000,68.0130000,68.8920000,67.7900000,68.7060000,469686
20161126,000000,68.7390000,68.9650000,68.5650000,68.5700000,1850
20161127,000000,68.7900000,68.8308000,68.2914000,68.3339000,121
20161128,000000,68.4480000,69.4990000,67.6700000,68.7360000,459487
20161129,000000,68.7360000,69.5470000,68.3940000,69.3870000,469045
20161130,000000,69.3870000,69.5470000,67.7130000,67.9340000,451900
20161201,000000,67.9340000,68.1940000,67.3730000,68.1680000,448470
20161202,000000,68.1670000,68.6260000,67.8520000,68.1220000,451701
20161203,000000,68.1220000,68.4520000,67.8342000,68.1130000,5716
20161204,000000,68.1340000,68.1940000,67.9153000,67.9396000,339
20161205,000000,67.9510000,68.7070000,66.9804000,68.6170000,461946
20161206,000000,68.5600000,68.9020000,68.1960000,68.4380000,422566
20161207,000000,68.4380000,68.6860000,67.7930000,68.0240000,445753
20161208,000000,68.0240000,68.6180000,66.9950000,67.1390000,443673
20161209,000000,67.1390000,68.5646000,65.4850000,65.7720000,386693
20161210,000000,65.7720000,65.9810000,65.7110000,65.9810000,4404
20161211,000000,65.8200000,66.7893000,65.6083000,65.7630000,135
20161212,000000,65.7530000,66.9610000,64.3550000,64.8570000,439554
20161213,000000,64.8570000,65.1780000,64.1920000,64.3550000,391826
20161214,000000,64.3550000,65.6160000,64.2210000,65.3700000,460940
20161215,000000,65.3700000,65.4683000,64.0860000,64.2705000,508993
20161216,000000,64.2590000,65.3870000,63.5870000,64.7960000,449649
20161217,000000,64.7960000,64.8850000,64.7030000,64.8260000,2893
20161218,000000,64.7630000,64.9740000,64.0917000,64.6830000,372
20161219,000000,64.7350000,65.0585000,63.9920000,64.3620000,371093
20161220,000000,64.3620000,64.4970000,63.5720000,63.8440000,438148
20161221,000000,63.8440000,63.8840000,63.4060000,63.7520000,405708
20161222,000000,63.7520000,63.9530000,63.3680000,63.5920000,346453
20161223,000000,63.5920000,64.0970000,63.4220000,63.7200000,361645
20161224,000000,63.7320000,64.1440000,63.4940000,63.7190000,903
20161225,000000,63.8680000,63.8680000,63.6846000,63.7720000,10
20161226,000000,63.7960000,64.1130000,63.4468000,63.7420000,169843
20161227,000000,63.6830000,64.8955000,63.2410000,63.4630000,328226
20161228,000000,63.4630000,64.2846000,62.3880000,62.8080000,357604
20161229,000000,62.8080000,63.7540000,62.7160000,63.1602000,170063
20161230,000000,63.3760000,65.0750000,62.8270000,64.6900000,120674
20161231,000000,64.7250000,64.9069000,64.2993000,64.7460000,218
20170101,000000,64.4500000,64.8953000,64.3030000,64.3610000,348
20170102,000000,64.3550000,64.8818000,63.8356000,63.8495000,2824
20170103,000000,64.0000000,64.1860000,62.5060000,63.3980000,178900
20170104,000000,63.3980000,63.8170000,62.8970000,63.3890000,160553
20170105,000000,63.3910000,63.7380000,62.2230000,62.9940000,228761
20170106,000000,62.9940000,63.2680000,62.4590000,62.7720000,160382
20170107,000000,62.7720000,63.0749000,62.5680000,62.7280000,1384
20170108,000000,62.6540000,62.7860000,62.6540000,62.7090000,313
20170109,000000,62.7230000,63.5100000,62.4406000,63.4530000,295306
