<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190130,000000,1717.2800000,1723.8100000,1711.3900000,1720.0600000,1038040096
20190131,000000,1728.1200000,1731.2700000,1723.0100000,1727.6800000,1551071692
20190201,000000,1728.9900000,1733.8100000,1723.2900000,1732.2500000,857512777
20190204,000000,1735.7600000,1747.7300000,1732.6400000,1745.7300000,1099699221
20190205,000000,1747.1400000,1755.4700000,1745.5200000,1747.1200000,1003835385
20190206,000000,1751.3800000,1751.3800000,1737.2800000,1737.9700000,1003641987
20190207,000000,1733.6800000,1737.1200000,1721.7100000,1723.1300000,998190860
20190208,000000,1721.5300000,1734.2100000,1718.8600000,1734.2100000,867831956
20190211,000000,1737.5600000,1740.8500000,1733.5500000,1740.7800000,819954887
20190212,000000,1742.6300000,1746.6400000,1739.1800000,1744.9200000,855173558
20190213,000000,1747.0800000,1749.7800000,1733.4700000,1734.9400000,1124000337
20190214,000000,1726.9200000,1730.3000000,1718.6900000,1727.3300000,1019944522
20190215,000000,1729.3100000,1734.9200000,1727.5200000,1733.5200000,629495356
20190218,000000,1735.1300000,1736.6600000,1720.1400000,1724.1100000,719587505
20190219,000000,1723.9800000,1725.7900000,1714.6700000,1719.8000000,602207568
20190220,000000,1722.2700000,1728.4100000,1719.0200000,1723.2100000,1000504629
20190221,000000,1724.3100000,1729.7800000,1712.5200000,1713.9200000,1042888767
20190222,000000,1713.8700000,1729.2000000,1710.6800000,1726.4500000,2028372567
20190225,000000,1726.4800000,1737.1700000,1720.4000000,1724.7200000,1552096273
20190226,000000,1723.0300000,1729.5500000,1718.7600000,1725.3900000,939265113
20190227,000000,1727.0500000,1732.2200000,1714.0200000,1717.1700000,1135390293
20190228,000000,1716.2100000,1717.5300000,1699.5200000,1703.4200000,1013698255
20190301,000000,1703.0000000,1709.6900000,1701.6000000,1707.2700000,921912534
20190304,000000,1707.0600000,1717.3800000,1706.9600000,1714.5500000,524854137
20190305,000000,1711.0700000,1711.3500000,1695.6800000,1695.6800000,781534230
20190306,000000,1699.9400000,1703.5700000,1697.0000000,1700.7500000,595080849
20190307,000000,1700.8000000,1701.2400000,1690.5200000,1692.2000000,542482540
20190311,000000,1693.6800000,1694.8800000,1688.4000000,1693.5000000,618064343
20190312,000000,1696.2300000,1710.2900000,1694.0700000,1702.3500000,959778669
20190313,000000,1704.8700000,1710.9400000,1699.3900000,1708.2500000,830763002
20190314,000000,1709.8700000,1716.9900000,1699.1900000,1699.6100000,799870277
20190315,000000,1701.4600000,1703.8600000,1697.8700000,1703.2800000,1957983626
20190318,000000,1707.6100000,1708.4700000,1699.7500000,1700.2500000,926944874
