<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160527,000000,65.2062000,65.2062000,65.2062000,65.2062000,0
20160528,000000,66.0413000,66.0413000,66.0413000,66.0413000,0
20160531,000000,66.0825000,66.0825000,66.0825000,66.0825000,0
20160601,000000,65.9962000,65.9962000,65.9962000,65.9962000,0
20160602,000000,66.6156000,66.6156000,66.6156000,66.6156000,0
20160603,000000,66.7491000,66.7491000,66.7491000,66.7491000,0
20160604,000000,66.8529000,66.8529000,66.8529000,66.8529000,0
20160607,000000,65.7894000,65.7894000,65.7894000,65.7894000,0
20160608,000000,65.2089000,65.2089000,65.2089000,65.2089000,0
20160609,000000,64.6797000,64.6797000,64.6797000,64.6797000,0
20160610,000000,63.7402000,63.7402000,63.7402000,63.7402000,0
20160611,000000,64.7077000,64.7077000,64.7077000,64.7077000,0
20160615,000000,66.0306000,66.0306000,66.0306000,66.0306000,0
20160616,000000,65.9156000,65.9156000,65.9156000,65.9156000,0
20160617,000000,65.8618000,65.8618000,65.8618000,65.8618000,0
20160618,000000,65.4398000,65.4398000,65.4398000,65.4398000,0
20160621,000000,64.1509000,64.1509000,64.1509000,64.1509000,0
20160622,000000,64.1743000,64.1743000,64.1743000,64.1743000,0
20160623,000000,63.7162000,63.7162000,63.7162000,63.7162000,0
20160624,000000,64.3212000,64.3212000,64.3212000,64.3212000,0
20160625,000000,65.5287000,65.5287000,65.5287000,65.5287000,0
20160628,000000,65.0588000,65.0588000,65.0588000,65.0588000,0
20160629,000000,64.8095000,64.8095000,64.8095000,64.8095000,0
20160630,000000,64.2575000,64.2575000,64.2575000,64.2575000,0
20160701,000000,64.1755000,64.1755000,64.1755000,64.1755000,0
20160702,000000,64.0165000,64.0165000,64.0165000,64.0165000,0
20160705,000000,63.6844000,63.6844000,63.6844000,63.6844000,0
20160706,000000,64.2676000,64.2676000,64.2676000,64.2676000,0
20160707,000000,64.6304000,64.6304000,64.6304000,64.6304000,0
20160708,000000,64.0500000,64.0500000,64.0500000,64.0500000,0
20160709,000000,64.2488000,64.2488000,64.2488000,64.2488000,0
20160712,000000,64.2024000,64.2024000,64.2024000,64.2024000,0
20160713,000000,63.9029000,63.9029000,63.9029000,63.9029000,0
20160714,000000,63.8531000,63.8531000,63.8531000,63.8531000,0
20160715,000000,63.5773000,63.5773000,63.5773000,63.5773000,0
20160716,000000,63.1697000,63.1697000,63.1697000,63.1697000,0
20160719,000000,63.1154000,63.1154000,63.1154000,63.1154000,0
20160720,000000,62.9891000,62.9891000,62.9891000,62.9891000,0
20160721,000000,63.4183000,63.4183000,63.4183000,63.4183000,0
20160722,000000,63.7373000,63.7373000,63.7373000,63.7373000,0
20160723,000000,64.6270000,64.6270000,64.6270000,64.6270000,0
20160726,000000,64.9184000,64.9184000,64.9184000,64.9184000,0
20160727,000000,65.7408000,65.7408000,65.7408000,65.7408000,0
20160728,000000,65.9467000,65.9467000,65.9467000,65.9467000,0
20160729,000000,66.1125000,66.1125000,66.1125000,66.1125000,0
20160730,000000,67.0512000,67.0512000,67.0512000,67.0512000,0
20160802,000000,65.9553000,65.9553000,65.9553000,65.9553000,0
20160803,000000,66.8816000,66.8816000,66.8816000,66.8816000,0
20160804,000000,66.7420000,66.7420000,66.7420000,66.7420000,0
20160805,000000,66.3941000,66.3941000,66.3941000,66.3941000,0
20160806,000000,65.5627000,65.5627000,65.5627000,65.5627000,0
20160809,000000,65.0799000,65.0799000,65.0799000,65.0799000,0
20160810,000000,64.7848000,64.7848000,64.7848000,64.7848000,0
20160811,000000,64.8137000,64.8137000,64.8137000,64.8137000,0
20160812,000000,64.9497000,64.9497000,64.9497000,64.9497000,0
20160813,000000,64.3364000,64.3364000,64.3364000,64.3364000,0
20160816,000000,64.2076000,64.2076000,64.2076000,64.2076000,0
20160817,000000,63.9514000,63.9514000,63.9514000,63.9514000,0
20160818,000000,63.9943000,63.9943000,63.9943000,63.9943000,0
20160819,000000,63.5487000,63.5487000,63.5487000,63.5487000,0
20160820,000000,63.9391000,63.9391000,63.9391000,63.9391000,0
20160823,000000,64.2078000,64.2078000,64.2078000,64.2078000,0
20160824,000000,64.7684000,64.7684000,64.7684000,64.7684000,0
20160825,000000,64.8140000,64.8140000,64.8140000,64.8140000,0
20160826,000000,64.9459000,64.9459000,64.9459000,64.9459000,0
20160827,000000,64.7380000,64.7380000,64.7380000,64.7380000,0
20160830,000000,65.0810000,65.0810000,65.0810000,65.0810000,0
20160831,000000,64.9072000,64.9072000,64.9072000,64.9072000,0
20160901,000000,65.2535000,65.2535000,65.2535000,65.2535000,0
20160902,000000,65.2566000,65.2566000,65.2566000,65.2566000,0
20160903,000000,65.8684000,65.8684000,65.8684000,65.8684000,0
20160906,000000,64.7644000,64.7644000,64.7644000,64.7644000,0
20160907,000000,64.8306000,64.8306000,64.8306000,64.8306000,0
20160908,000000,64.3804000,64.3804000,64.3804000,64.3804000,0
20160909,000000,63.9730000,63.9730000,63.9730000,63.9730000,0
20160910,000000,64.1617000,64.1617000,64.1617000,64.1617000,0
20160913,000000,65.0539000,65.0539000,65.0539000,65.0539000,0
20160914,000000,64.8102000,64.8102000,64.8102000,64.8102000,0
20160915,000000,64.9737000,64.9737000,64.9737000,64.9737000,0
20160916,000000,65.2170000,65.2170000,65.2170000,65.2170000,0
20160917,000000,64.9940000,64.9940000,64.9940000,64.9940000,0
20160920,000000,64.9173000,64.9173000,64.9173000,64.9173000,0
20160921,000000,64.7513000,64.7513000,64.7513000,64.7513000,0
20160922,000000,64.4424000,64.4424000,64.4424000,64.4424000,0
20160923,000000,63.7942000,63.7942000,63.7942000,63.7942000,0
20160924,000000,63.8642000,63.8642000,63.8642000,63.8642000,0
20160927,000000,64.1506000,64.1506000,64.1506000,64.1506000,0
20160928,000000,63.6921000,63.6921000,63.6921000,63.6921000,0
20160929,000000,63.9509000,63.9509000,63.9509000,63.9509000,0
20160930,000000,63.1581000,63.1581000,63.1581000,63.1581000,0
20161001,000000,63.3960000,63.3960000,63.3960000,63.3960000,0
20161004,000000,62.5477000,62.5477000,62.5477000,62.5477000,0
20161005,000000,62.4323000,62.4323000,62.4323000,62.4323000,0
20161006,000000,62.4583000,62.4583000,62.4583000,62.4583000,0
20161007,000000,62.3900000,62.3900000,62.3900000,62.3900000,0
20161008,000000,62.3031000,62.3031000,62.3031000,62.3031000,0
20161011,000000,62.3884000,62.3884000,62.3884000,62.3884000,0
20161012,000000,62.1946000,62.1946000,62.1946000,62.1946000,0
20161013,000000,62.5892000,62.5892000,62.5892000,62.5892000,0
20161014,000000,63.3465000,63.3465000,63.3465000,63.3465000,0
20161015,000000,62.9934000,62.9934000,62.9934000,62.9934000,0
20161018,000000,63.1510000,63.1510000,63.1510000,63.1510000,0
20161019,000000,62.8900000,62.8900000,62.8900000,62.8900000,0
20161020,000000,62.5841000,62.5841000,62.5841000,62.5841000,0
20161021,000000,62.4194000,62.4194000,62.4194000,62.4194000,0
20161022,000000,62.4499000,62.4499000,62.4499000,62.4499000,0
20161025,000000,62.2349000,62.2349000,62.2349000,62.2349000,0
20161026,000000,62.0480000,62.0480000,62.0480000,62.0480000,0
20161027,000000,62.2597000,62.2597000,62.2597000,62.2597000,0
20161028,000000,63.0399000,63.0399000,63.0399000,63.0399000,0
20161029,000000,62.9037000,62.9037000,62.9037000,62.9037000,0
20161101,000000,63.2174000,63.2174000,63.2174000,63.2174000,0
20161102,000000,63.2025000,63.2025000,63.2025000,63.2025000,0
20161103,000000,63.4166000,63.4166000,63.4166000,63.4166000,0
20161104,000000,63.5043000,63.5043000,63.5043000,63.5043000,0
20161108,000000,63.9074000,63.9074000,63.9074000,63.9074000,0
20161109,000000,63.7364000,63.7364000,63.7364000,63.7364000,0
20161110,000000,63.8928000,63.8928000,63.8928000,63.8928000,0
20161111,000000,63.4161000,63.4161000,63.4161000,63.4161000,0
20161112,000000,65.2167000,65.2167000,65.2167000,65.2167000,0
20161115,000000,65.8591000,65.8591000,65.8591000,65.8591000,0
20161116,000000,65.5548000,65.5548000,65.5548000,65.5548000,0
20161117,000000,64.5463000,64.5463000,64.5463000,64.5463000,0
20161118,000000,64.9154000,64.9154000,64.9154000,64.9154000,0
20161119,000000,65.1023000,65.1023000,65.1023000,65.1023000,0
20161122,000000,64.3580000,64.3580000,64.3580000,64.3580000,0
20161123,000000,63.6282000,63.6282000,63.6282000,63.6282000,0
20161124,000000,64.0087000,64.0087000,64.0087000,64.0087000,0
20161125,000000,64.6279000,64.6279000,64.6279000,64.6279000,0
20161126,000000,64.6174000,64.6174000,64.6174000,64.6174000,0
20161129,000000,64.9153000,64.9153000,64.9153000,64.9153000,0
20161130,000000,64.9449000,64.9449000,64.9449000,64.9449000,0
20161201,000000,65.2382000,65.2382000,65.2382000,65.2382000,0
20161202,000000,63.6807000,63.6807000,63.6807000,63.6807000,0
20161203,000000,64.1528000,64.1528000,64.1528000,64.1528000,0
20161206,000000,63.9242000,63.9242000,63.9242000,63.9242000,0
20161207,000000,63.8741000,63.8741000,63.8741000,63.8741000,0
20161208,000000,63.9114000,63.9114000,63.9114000,63.9114000,0
20161209,000000,63.3901000,63.3901000,63.3901000,63.3901000,0
20161210,000000,63.3028000,63.3028000,63.3028000,63.3028000,0
20161213,000000,61.5804000,61.5804000,61.5804000,61.5804000,0
20161214,000000,61.0690000,61.0690000,61.0690000,61.0690000,0
20161215,000000,60.8079000,60.8079000,60.8079000,60.8079000,0
20161216,000000,61.6368000,61.6368000,61.6368000,61.6368000,0
20161217,000000,61.7515000,61.7515000,61.7515000,61.7515000,0
20161220,000000,61.7931000,61.7931000,61.7931000,61.7931000,0
20161221,000000,61.7967000,61.7967000,61.7967000,61.7967000,0
20161222,000000,61.1092000,61.1092000,61.1092000,61.1092000,0
20161223,000000,60.8641000,60.8641000,60.8641000,60.8641000,0
20161224,000000,60.8528000,60.8528000,60.8528000,60.8528000,0
20161227,000000,60.9084000,60.9084000,60.9084000,60.9084000,0
20161228,000000,60.8587000,60.8587000,60.8587000,60.8587000,0
20161229,000000,60.6669000,60.6669000,60.6669000,60.6669000,0
20161230,000000,60.2730000,60.2730000,60.2730000,60.2730000,0
20161231,000000,60.6569000,60.6569000,60.6569000,60.6569000,0
20170110,000000,59.8961000,59.8961000,59.8961000,59.8961000,0
20170111,000000,59.9533000,59.9533000,59.9533000,59.9533000,0
20170112,000000,60.1614000,60.1614000,60.1614000,60.1614000,0
20170113,000000,59.4978000,59.4978000,59.4978000,59.4978000,0
20170114,000000,59.3700000,59.3700000,59.3700000,59.3700000,0
20170117,000000,59.6067000,59.6067000,59.6067000,59.6067000,0
20170118,000000,59.4015000,59.4015000,59.4015000,59.4015000,0
20170119,000000,59.1830000,59.1830000,59.1830000,59.1830000,0
20170120,000000,59.3521000,59.3521000,59.3521000,59.3521000,0
20170121,000000,59.6697000,59.6697000,59.6697000,59.6697000,0
20170124,000000,59.5034000,59.5034000,59.5034000,59.5034000,0
20170125,000000,59.2168000,59.2168000,59.2168000,59.2168000,0
20170126,000000,59.1489000,59.1489000,59.1489000,59.1489000,0
20170127,000000,59.6356000,59.6356000,59.6356000,59.6356000,0
20170128,000000,60.3196000,60.3196000,60.3196000,60.3196000,0
20170131,000000,60.1618000,60.1618000,60.1618000,60.1618000,0
20170201,000000,60.0851000,60.0851000,60.0851000,60.0851000,0
20170202,000000,60.3099000,60.3099000,60.3099000,60.3099000,0
20170203,000000,59.9858000,59.9858000,59.9858000,59.9858000,0
20170204,000000,59.3137000,59.3137000,59.3137000,59.3137000,0
20170207,000000,58.7121000,58.7121000,58.7121000,58.7121000,0
20170208,000000,59.1933000,59.1933000,59.1933000,59.1933000,0
20170209,000000,59.5129000,59.5129000,59.5129000,59.5129000,0
20170210,000000,59.0235000,59.0235000,59.0235000,59.0235000,0
20170211,000000,58.8457000,58.8457000,58.8457000,58.8457000,0
20170214,000000,58.0619000,58.0619000,58.0619000,58.0619000,0
20170215,000000,57.7388000,57.7388000,57.7388000,57.7388000,0
20170216,000000,56.7719000,56.7719000,56.7719000,56.7719000,0
20170217,000000,57.1507000,57.1507000,57.1507000,57.1507000,0
20170218,000000,57.6342000,57.6342000,57.6342000,57.6342000,0
20170221,000000,58.0967000,58.0967000,58.0967000,58.0967000,0
20170222,000000,57.8590000,57.8590000,57.8590000,57.8590000,0
20170223,000000,57.4762000,57.4762000,57.4762000,57.4762000,0
20170228,000000,57.9371000,57.9371000,57.9371000,57.9371000,0
20170301,000000,57.9627000,57.9627000,57.9627000,57.9627000,0
20170302,000000,58.3776000,58.3776000,58.3776000,58.3776000,0
20170303,000000,58.4067000,58.4067000,58.4067000,58.4067000,0
20170304,000000,58.9099000,58.9099000,58.9099000,58.9099000,0
20170307,000000,58.3370000,58.3370000,58.3370000,58.3370000,0
20170308,000000,58.2630000,58.2630000,58.2630000,58.2630000,0
20170310,000000,58.8318000,58.8318000,58.8318000,58.8318000,0
20170311,000000,59.2174000,59.2174000,59.2174000,59.2174000,0
20170314,000000,59.1327000,59.1327000,59.1327000,59.1327000,0
20170315,000000,58.9540000,58.9540000,58.9540000,58.9540000,0
20170316,000000,59.1128000,59.1128000,59.1128000,59.1128000,0
20170317,000000,58.2437000,58.2437000,58.2437000,58.2437000,0
